"","ID","Gender","Education","Offences","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default"
"5782",62741,"Male","Postgrad",0,19.25,395783,1.21,1017327,33.58,102.39,58.3,"Salaried","Own","Debt_consolidation",0
"8799",89254,"Male","Diploma",0,29.75,6738,0.43,2123,35.65,117.34,66.1,"Unemployed","Rent","Debt_consolidation",1
"2697",34501,"Male","Grade 12",2,19.25,423189,1.67,785123,29.66,99.83,62.6,"Salaried","Mortgage","Vehicle",1
"8346",85332,"Male","Diploma",0,35,5897,0.47,4519,10.33,36.15,43.8,"Unemployed","Rent","Other",1
"8139",83399,"Female","No records",0,16.75,431704,1.37,903535,20.78,76.44,52.3,"Salaried","Mortgage","Home_improvement",1
"5167",57013,"Female","Grade 12",0,23.75,2197242,2.57,3274587,32.95,114.96,58,"Self-employed","Rent","Other",1
"6835",72021,"Female","Postgrad",0,21.75,565167,1.13,1780857,17.79,65.61,44.4,"Self-employed","Mortgage","Debt_consolidation",0
"9032",91309,"Male","Postgrad",0,23.75,1080493,1.85,924940,29.32,104.23,59.2,"Self-employed","Rent","Other",0
"2080",28773,"Male","Diploma",0,19.25,218425,1.14,386027,11.14,46.25,40.6,"Salaried","Own","Debt_consolidation",0
"814",17483,"Male","Grade 12",0,19.25,781301,2.04,2726148,38.03,121.39,67.1,"Salaried","Mortgage","Vehicle",1
"8232",84311,"Female","No records",2,16.75,374782,1.42,463633,12.04,47.09,43.4,"Salaried","Mortgage","Home_improvement",0
"3951",45984,"Male","Diploma",1,19.75,192555,2.43,723059,36.62,123.48,58.9,"Self-employed","Mortgage","Vehicle",1
"1671",25100,"Female","No records",0,17.75,450989,1.12,1399228,13.82,51.17,47.3,"Salaried","Mortgage","Vehicle",1
"5965",64443,"Male","Grade 12",0,31.75,1726,0.45,553,1.87,16.02,35.3,"Unemployed","Rent","Debt_consolidation",0
"6583",69967,"Male","Diploma",1,18.25,210414,0.86,463098,3.93,19.73,33.4,"Salaried","Mortgage","Home_improvement",0
"650",15917,"Female","No records",0,21.25,750967,1.04,2649219,21.68,75.02,45,"Contract","Mortgage","Vehicle",0
"5307",58306,"Female","Diploma",0,23.75,2496210,2.68,2478263,31.89,101.37,57.1,"Self-employed","Rent","Other",1
"4347",49378,"Male","Grade 12",0,17.75,636768,1.81,1795105,14.76,58.57,48.5,"Salaried","Mortgage","Vehicle",1
"3807",44767,"Male","Grade 12",2,18.25,222168,1.37,666666,35.74,121.84,68.1,"Salaried","Mortgage","Home_improvement",1
"9807",98351,"Female","Grade 12",3,19.25,856437,1.7,2875229,27.7,87.29,59.6,"Salaried","Own","Debt_consolidation",1
"5795",62910,"Male","Diploma",0,34.75,5940,0.61,13422,23.06,81.31,56.9,"Unemployed","Mortgage","Debt_consolidation",1
"5456",59536,"Female","Diploma",1,16.75,351488,1.76,587922,14.83,54.37,39.1,"Salaried","Mortgage","Home_improvement",1
"1264",21465,"Male","Grade 12",2,22.75,692306,1.82,898361,35.65,117.25,69.1,"Self-employed","Own","Debt_consolidation",1
"6886",72387,"Male","No records",2,20.75,430019,1.87,479144,39.87,124.46,67,"Salaried","Own","Debt_consolidation",0
"9302",93788,"Male","Grade 12",2,17.75,257783,1.2,366394,28.79,97.42,51.3,"Salaried","Mortgage","Vehicle",0
"7153",74581,"Female","Diploma",1,31.25,4380,0.38,14386,16.61,59.85,39.9,"Unemployed","Mortgage","Debt_consolidation",0
"4872",54356,"Female","No records",0,33.75,4005,0.46,6378,24.53,86.1,49.3,"Unemployed","Rent","Vehicle",0
"6432",68343,"Male","Diploma",3,14.25,409320,1.52,157774,22.05,78.61,52.5,"Salaried","Mortgage","Home_improvement",0
"4127",47330,"Female","Grade 12",0,21.25,2530188,2.76,977102,31.15,100.43,53.3,"Self-employed","Rent","Other",1
"4930",54794,"Female","No records",0,21.25,1708049,1.45,5812864,27.55,90.13,50.8,"Self-employed","Own","Debt_consolidation",1
"8777",89043,"Female","Degree",0,21.75,229756,1.44,572493,25.77,91.02,58.9,"Salaried","Rent","Other",0
"1142",20454,"Female","Grade 12",2,23.75,803360,2.39,2143825,5.28,23.83,36.5,"Contract","Rent","Vehicle",1
"1314",21930,"Female","Postgrad",2,17.75,528411,1.18,382962,9.95,43.4,32.6,"Salaried","Mortgage","Vehicle",0
"1681",25174,"Female","Degree",0,19.75,3258794,1.5,8541350,25.38,82.62,56.1,"Self-employed","Mortgage","Vehicle",0
"5683",61873,"Female","Grade 12",0,18.25,112158,1.48,203711,35.96,122.16,62.5,"Salaried","Mortgage","Home_improvement",0
"8946",90482,"Male","Grade 12",0,20.25,526058,1.63,1441736,37.67,113.86,61.5,"Salaried","Rent","Vehicle",0
"5809",62983,"Female","No records",0,20.25,220820,1.62,554302,36.86,119.5,66.6,"Salaried","Rent","Vehicle",0
"2851",35883,"Male","Degree",1,18.75,302931,1.75,867133,22.33,73.27,46.2,"Salaried","Rent","Vehicle",0
"4539",51184,"Male","No records",0,19.25,288969,1.81,900419,29.76,96.93,62.9,"Salaried","Mortgage","Vehicle",0
"6561",69724,"Female","Postgrad",2,16.75,494871,0.9,189607,5.58,28.27,27.6,"Salaried","Mortgage","Vehicle",0
"9293",93743,"Female","Grade 12",2,35,6469,0.57,22766,4.24,23.01,30,"Unemployed","Rent","Debt_consolidation",0
"2459",32247,"Male","Grade 12",3,32.25,2039,0.41,3427,24.03,89.09,51.4,"Unemployed","Rent","Debt_consolidation",1
"9492",95401,"Male","Grade 12",1,15.25,666670,1.53,205973,23.41,75.23,52.2,"Salaried","Own","Debt_consolidation",0
"9645",96896,"Female","Grade 12",0,17.75,870022,2.34,565179,26.96,90.73,61.9,"Self-employed","Mortgage","Home_improvement",1
"2699",34510,"Male","Grade 12",0,19.25,212243,1.35,120338,14.64,52.85,47.6,"Salaried","Rent","Other",0
"5781",62733,"Female","Grade 12",0,17.75,203158,1.59,695211,20.55,70.28,53.7,"Salaried","Mortgage","Vehicle",0
"3449",41632,"Female","Grade 12",0,19.25,570001,1.8,2049334,32.55,109.65,63.3,"Salaried","Mortgage","Vehicle",0
"4656",52369,"Male","Diploma",1,17.75,319709,1.38,590570,23.36,75.21,49.1,"Salaried","Mortgage","Vehicle",0
"774",17141,"Male","Diploma",2,20.25,385359,1.37,451751,0.53,8.97,32.7,"Salaried","Mortgage","Home_improvement",0
"7783",80174,"Male","Diploma",1,20.75,174391,1.49,574739,35.61,114.17,64.8,"Salaried","Own","Debt_consolidation",1
"9220",92960,"Male","Diploma",3,25.25,186731,1.46,390010,0.35,9.99,33.3,"Salaried","Rent","Other",0
"3924",45724,"Female","Grade 12",0,19.25,375448,1.79,153294,18.23,67.94,43.5,"Salaried","Rent","Other",1
"1457",23218,"Male","Degree",0,16.75,474873,1.27,768216,21.5,80.87,46.8,"Salaried","Mortgage","Home_improvement",0
"683",16231,"Male","Grade 12",0,18.25,390703,1.56,1386681,29.44,101.87,63.5,"Salaried","Mortgage","Home_improvement",0
"893",18246,"Female","Postgrad",0,17.25,353120,1.72,183138,16.27,64.4,48.9,"Self-employed","Mortgage","Vehicle",1
"7849",80729,"Female","No records",0,14.25,349498,1.66,143244,22.8,77.43,56,"Salaried","Mortgage","Home_improvement",0
"694",16382,"Female","Degree",2,21.25,834322,2.33,2083816,8.48,36.78,32.7,"Contract","Mortgage","Vehicle",0
"5225",57544,"Male","No records",2,20.75,80626,1.2,289102,34.37,109.94,65.9,"Salaried","Own","Debt_consolidation",1
"917",18446,"Male","Diploma",2,14.75,597280,1.29,193998,28.31,100.36,54.1,"Salaried","Rent","Vehicle",1
"9068",91544,"Female","Grade 12",2,25.25,417296,1.68,877321,16.94,59.13,47.2,"Contract","Rent","Other",0
"2820",35571,"Female","Grade 12",2,20.25,260218,1.15,185755,36.72,121.35,69.9,"Salaried","Rent","Vehicle",1
"8193",83921,"Female","Grade 12",2,16.75,613704,1.99,638412,15.32,56.32,40,"Salaried","Mortgage","Home_improvement",0
"5505",60076,"Male","Postgrad",0,23.25,358289,1.45,531298,34.47,110.13,63.2,"Salaried","Rent","Other",1
"8792",89152,"Female","Diploma",2,18.75,105167,1.51,327586,32.1,106.5,56.2,"Salaried","Rent","Vehicle",0
"5356",58653,"Male","Grade 12",0,19.25,549574,1.7,681196,18.1,65.15,46.1,"Salaried","Own","Debt_consolidation",1
"3561",42589,"Male","Diploma",1,17.75,577310,0.96,1139705,17.73,64.34,41.8,"Salaried","Mortgage","Vehicle",1
"5100",56260,"Male","Grade 12",0,23.25,228365,0.96,699250,34.2,112.11,63.1,"Salaried","Rent","Other",1
"1268",21518,"Male","Grade 12",2,16.75,281415,1.77,546758,27.33,94.3,54.3,"Salaried","Mortgage","Home_improvement",1
"1747",25759,"Male","Grade 12",0,20.25,322084,0.97,390452,0.2,12.94,31.2,"Salaried","Mortgage","Home_improvement",0
"2156",29498,"Male","No records",0,16.75,630661,1.47,1963506,13.89,51.61,36.3,"Salaried","Mortgage","Home_improvement",0
"743",16909,"Female","Grade 12",0,22.75,434612,1.39,316106,21.01,73.91,47.7,"Contract","Own","Debt_consolidation",1
"4723",52998,"Male","Degree",0,18.75,420940,1.47,789782,34.82,114.08,59.7,"Salaried","Rent","Vehicle",1
"4616",51990,"Female","Degree",0,29.75,4230,0.24,4158,13.62,53.67,37.8,"Unemployed","Rent","Debt_consolidation",1
"8689",88286,"Female","No records",0,22.25,871146,1.88,1139007,29.22,95.51,55.1,"Contract","Rent","Vehicle",1
"4004",46342,"Male","Grade 12",0,25.25,834517,1.52,1624400,13.16,50.39,39.9,"Contract","Rent","Other",1
"3055",37974,"Male","Degree",0,23.75,498445,1.75,615470,1.09,16.61,24.6,"Salaried","Rent","Vehicle",0
"8755",88877,"Male","No records",2,32.25,2777,0.38,5631,28.19,91.63,56.1,"Unemployed","Rent","Debt_consolidation",1
"65",10587,"Male","Diploma",0,29.75,7196,0.36,17622,18.02,58.06,49.4,"Unemployed","Rent","Debt_consolidation",0
"2554",33119,"Female","Diploma",2,19.25,365160,1.45,774933,32.96,109.39,67.6,"Salaried","Mortgage","Vehicle",1
"3757",44210,"Female","Degree",0,19.25,500097,1.86,662450,38.44,126.35,65.8,"Salaried","Mortgage","Vehicle",1
"81",10768,"Female","Degree",1,18.75,318501,1.89,748910,25.81,84.83,56.4,"Salaried","Rent","Vehicle",0
"6846",72082,"Male","No records",0,21.75,227395,1.47,267530,17,65.27,40.5,"Salaried","Rent","Other",0
"6315",67396,"Female","Grade 12",0,16.75,235721,1.56,137535,9.85,41.36,36.8,"Salaried","Own","Debt_consolidation",0
"830",17636,"Male","Diploma",2,18.75,244057,1.72,669057,32.11,105.65,60,"Salaried","Rent","Vehicle",0
"7373",76278,"Male","Diploma",0,29.75,2167,0.33,7564,13.99,50.27,44.2,"Unemployed","Rent","Debt_consolidation",0
"1831",26513,"Male","Grade 12",0,19.25,497773,1.55,319689,15.37,54.77,37.5,"Salaried","Rent","Other",1
"512",14767,"Male","Diploma",1,18.75,749488,1.96,1850215,33.43,110.66,59.5,"Self-employed","Mortgage","Home_improvement",0
"421",13976,"Male","Grade 12",0,20.25,3095918,1.97,4226321,6.96,28.27,41.7,"Self-employed","Mortgage","Home_improvement",0
"4520",50924,"Female","Grade 12",2,23.75,1730197,1.46,2876036,20.43,70.13,43.2,"Self-employed","Rent","Other",1
"1107",20175,"Male","No records",1,22.25,303420,2.36,191597,35.13,115.9,67.7,"Contract","Mortgage","Debt_consolidation",1
"2873",36244,"Female","Diploma",0,15.25,683902,1.66,237974,28.22,95.65,53.9,"Salaried","Mortgage","Vehicle",1
"8591",87440,"Female","Grade 12",2,18.75,647430,1.3,1798586,17.86,65.44,51.3,"Salaried","Rent","Vehicle",1
"5184",57206,"Female","Grade 12",0,20.25,585515,1.39,380582,30.77,104.38,53.1,"Contract","Own","Debt_consolidation",0
"998",19207,"Female","Diploma",0,20.25,622261,1.7,678295,6.74,40.74,39.2,"Salaried","Rent","Vehicle",1
"5742",62401,"Female","Grade 12",2,19.25,687167,1.56,1551387,39.5,137.19,72.1,"Salaried","Mortgage","Vehicle",1
"3857",45207,"Male","Degree",1,31.25,3753,0.37,1359,1.73,17.89,33.6,"Unemployed","Rent","Vehicle",1
"384",13567,"Female","Postgrad",0,17.75,256235,1.42,709501,21.04,73.75,46.2,"Salaried","Mortgage","Vehicle",0
"29",10201,"Male","Grade 12",0,33.75,7082,0.42,14793,36.05,121.09,63.9,"Unemployed","Rent","Debt_consolidation",1
"7738",79753,"Male","Degree",1,23.25,477487,1.33,1570042,35.22,113.6,68.1,"Salaried","Rent","Other",1
"4327",49196,"Female","No records",0,21.25,2589445,1.69,5703478,19.45,69.9,47,"Self-employed","Own","Debt_consolidation",0
"9221",92961,"Female","Grade 12",1,17.75,138592,1.73,397470,15.19,52.74,43.1,"Salaried","Mortgage","Vehicle",0
"3967",46058,"Male","Grade 12",0,18.75,1211048,2.41,1840001,20.35,80.27,48.6,"Self-employed","Mortgage","Home_improvement",1
"8317",85141,"Male","Diploma",0,23.25,324869,1.18,1121863,36.04,123.03,69.3,"Salaried","Rent","Other",1
"1305",21871,"Female","Diploma",1,21.25,1309286,1.48,1080490,23.36,82.39,47.7,"Self-employed","Own","Debt_consolidation",1
"918",18449,"Male","Grade 12",1,17.75,225048,0.91,183693,23.77,80.06,54.8,"Salaried","Mortgage","Vehicle",0
"1247",21317,"Male","Degree",1,20.25,122002,1.68,341758,3.34,23.45,28.7,"Salaried","Rent","Vehicle",1
"8242",84444,"Male","Grade 12",0,23.75,606356,1,978534,4.06,24.19,27.2,"Contract","Rent","Vehicle",0
"4213",48105,"Male","Degree",0,20.25,317590,1.11,1202994,4.55,23.44,30.9,"Salaried","Rent","Vehicle",1
"4959",54981,"Male","Grade 12",2,22.25,358918,1.47,814726,2.12,18.58,28.1,"Salaried","Rent","Vehicle",1
"1099",20095,"Female","Degree",0,16.75,636104,1.51,970465,11.62,39.4,37.8,"Salaried","Mortgage","Home_improvement",0
"3527",42261,"Female","No records",2,21.75,2361908,1.79,5628512,19.9,66.21,52.3,"Self-employed","Mortgage","Debt_consolidation",1
"1366",22390,"Female","Grade 12",2,20.25,384431,1.55,787897,5.05,27.81,28.6,"Salaried","Rent","Vehicle",0
"7654",78894,"Male","Grade 12",0,18.75,722827,1.44,688127,11.32,44.69,40.7,"Salaried","Rent","Vehicle",0
"6762",71365,"Female","No records",0,16.75,116088,1.61,173418,16.57,59.12,47.7,"Salaried","Mortgage","Home_improvement",0
"5625",61352,"Male","Degree",0,21.25,1222541,2,2745736,18.24,66.25,40.3,"Contract","Mortgage","Vehicle",1
"6037",65096,"Male","No records",0,34.75,3967,0.53,14845,35.82,117.71,58.3,"Unemployed","Mortgage","Debt_consolidation",1
"4240",48441,"Male","No records",0,16.75,339377,1.62,239644,17.31,60.74,51.8,"Salaried","Mortgage","Home_improvement",0
"7245",75279,"Female","No records",3,18.75,432164,0.96,1077471,29.15,96.37,53.4,"Salaried","Rent","Vehicle",0
"2358",31454,"Male","Grade 12",2,16.25,188290,1.54,67057,30.17,102.35,53.9,"Salaried","Rent","Vehicle",0
"9004",91098,"Female","Degree",1,16.75,285097,1.21,147757,3.93,27.66,31.4,"Salaried","Mortgage","Vehicle",0
"717",16559,"Female","Grade 12",0,19.25,368552,1.22,591482,15.09,55.61,38.8,"Salaried","Own","Debt_consolidation",1
"272",12519,"Male","Diploma",0,33.25,4947,0.69,3023,34.87,112.97,58.3,"Unemployed","Rent","Debt_consolidation",0
"4229",48292,"Female","No records",0,25.25,3391813,1.95,4308798,28.29,95.05,60.7,"Self-employed","Rent","Other",1
"8723",88602,"Male","Grade 12",1,21.25,855584,1.87,1506166,20.06,71.57,54.7,"Self-employed","Own","Debt_consolidation",1
"6512",69209,"Female","No records",1,19.25,419915,2.03,850204,36.94,122.45,59.4,"Salaried","Own","Debt_consolidation",0
"2884",36392,"Male","No records",0,22.25,502898,1.93,1514762,16,54.33,42.4,"Contract","Rent","Vehicle",0
"1524",23849,"Female","Grade 12",0,20.25,363175,1.67,300444,28.65,98.62,61.8,"Salaried","Rent","Vehicle",1
"1308",21897,"Female","No records",2,25.25,523919,1.63,1544457,2.19,20.56,30.6,"Salaried","Rent","Other",1
"9386",94336,"Male","Grade 12",1,18.75,186225,1.52,566370,14.59,53.82,40.4,"Salaried","Rent","Vehicle",0
"9856",98679,"Male","Postgrad",1,19.25,288723,1.85,292836,24.43,85.21,48,"Salaried","Own","Debt_consolidation",1
"7250",75313,"Female","No records",0,33.75,6833,0.37,24100,36.5,116.39,62.8,"Unemployed","Rent","Debt_consolidation",1
"2626",33745,"Male","Postgrad",2,19.25,198935,2.07,659940,7.99,32.99,34.1,"Salaried","Own","Debt_consolidation",1
"5123",56560,"Female","Grade 12",0,21.25,2530631,1.57,2854671,3.83,17.07,35.6,"Self-employed","Mortgage","Vehicle",1
"2767",35080,"Female","Grade 12",4,25.25,1943252,1.77,1977822,36.05,118.01,68.3,"Self-employed","Rent","Other",1
"3831",44996,"Male","Grade 12",0,25.25,725398,2.36,2676355,24.24,82.4,47.6,"Contract","Rent","Other",1
"212",11999,"Male","Grade 12",0,23.25,547749,1.75,526482,35.05,110.18,67.5,"Salaried","Rent","Other",1
"8117",83215,"Male","Degree",0,20.25,557114,1.76,2022311,6.67,28.02,39,"Salaried","Rent","Vehicle",1
"5694",61957,"Female","Diploma",0,19.25,239350,1.43,448668,19.89,71.91,49.7,"Salaried","Own","Debt_consolidation",0
"3969",46070,"Male","No records",0,20.25,1202586,1.65,4372832,20.84,70.21,48.3,"Contract","Mortgage","Home_improvement",1
"9334",94009,"Female","Grade 12",0,23.75,1615911,1.76,2837776,19.29,68.4,48,"Self-employed","Rent","Other",0
"9710",97491,"Female","Grade 12",3,18.75,888075,1.27,292635,34.94,116.77,60.4,"Contract","Mortgage","Vehicle",1
"8913",90186,"Female","Grade 12",0,18.25,291425,1.46,652660,30.39,104.53,65.2,"Salaried","Mortgage","Home_improvement",1
"1189",20749,"Male","No records",0,18.75,774432,1.52,1851049,11.06,40.89,36.6,"Salaried","Rent","Vehicle",0
"481",14485,"Female","Grade 12",0,35,6847,0.47,14235,1.25,14.88,29.3,"Unemployed","Rent","Debt_consolidation",1
"8500",86597,"Male","Grade 12",0,23.75,478525,2.13,1561541,19.81,68.15,47.8,"Self-employed","Rent","Other",1
"3544",42470,"Male","Diploma",2,32.75,5803,0.38,8612,4.38,18.74,34,"Unemployed","Mortgage","Debt_consolidation",0
"7495",77394,"Male","Diploma",1,14.25,170418,1.3,67364,10.69,43.34,33.4,"Salaried","Mortgage","Home_improvement",0
"2625",33730,"Male","Diploma",0,17.75,303661,1.72,231263,31.09,106.67,53.8,"Salaried","Mortgage","Vehicle",0
"4887",54507,"Male","Degree",0,17.75,314064,1.42,866634,36.69,110.03,58.9,"Salaried","Mortgage","Vehicle",0
"9558",96087,"Female","Degree",0,21.25,1275997,1.46,3567185,21.33,76.61,55.4,"Self-employed","Own","Debt_consolidation",1
"3013",37643,"Male","Degree",0,21.25,478908,2,177175,4.24,27.7,36.8,"Contract","Rent","Vehicle",1
"7017",73526,"Male","No records",2,23.25,389077,1.46,621408,25.31,84.61,51.7,"Contract","Mortgage","Debt_consolidation",1
"6214",66629,"Female","Grade 12",0,33.75,8588,0.43,29257,3.84,19.14,26.1,"Unemployed","Rent","Debt_consolidation",1
"5652",61563,"Male","Grade 12",1,17.75,177432,1.43,520797,18.22,63.98,49.5,"Salaried","Mortgage","Vehicle",0
"5563",60682,"Female","No records",0,20.25,799641,2.62,1630314,7.76,31.37,35.8,"Contract","Mortgage","Home_improvement",1
"2140",29339,"Female","No records",2,18.75,442877,1.11,1541377,10.91,37.04,35.3,"Salaried","Rent","Vehicle",0
"1919",27200,"Male","Grade 12",2,35,3118,0.5,8628,17.95,63.35,49.2,"Unemployed","Rent","Debt_consolidation",1
"3490",41941,"Male","Grade 12",0,19.25,329248,0.78,1212974,7.51,27.68,38.4,"Salaried","Own","Debt_consolidation",0
"6883",72368,"Female","Diploma",1,19.25,136629,0.98,75902,33.21,108.6,55.5,"Salaried","Rent","Other",0
"8230",84261,"Female","Diploma",1,17.75,453461,0.82,706349,23.6,81.54,54.2,"Salaried","Mortgage","Vehicle",0
"1199",20854,"Male","Degree",0,16.75,364755,1.86,183639,36.66,119.21,70.2,"Salaried","Mortgage","Vehicle",0
"7190",74805,"Female","Degree",0,18.75,820216,2.25,546068,21.94,76.5,49.1,"Self-employed","Own","Debt_consolidation",1
"7142",74481,"Female","Diploma",0,22.25,2702609,2.52,1340623,1.28,11.04,29.6,"Self-employed","Own","Debt_consolidation",1
"4392",49850,"Female","Diploma",0,23.75,2064701,1.9,3521290,27.92,94.87,52,"Self-employed","Rent","Other",1
"6235",66819,"Female","Diploma",0,17.75,566919,1.55,827290,12.1,52.39,42.5,"Salaried","Mortgage","Vehicle",1
"1960",27521,"Female","Grade 12",0,23.75,2720622,0.96,4418088,18.32,70.65,49.2,"Self-employed","Rent","Other",0
"5528",60356,"Male","Degree",0,17.25,1754255,1.05,1153227,24.23,80.93,58.4,"Self-employed","Mortgage","Vehicle",0
"1100",20102,"Female","Grade 12",0,19.25,343221,1.95,591596,25.81,91.23,53.1,"Salaried","Own","Debt_consolidation",1
"2276",30624,"Female","Degree",3,20.25,332110,1.59,663611,38.55,126.28,61.4,"Salaried","Rent","Vehicle",1
"6465",68713,"Female","Postgrad",0,16.75,185967,1.4,329144,24.7,85.46,56.4,"Salaried","Mortgage","Home_improvement",0
"2283",30660,"Female","Grade 12",1,18.75,544874,1.03,895955,12.65,45.45,35.3,"Salaried","Rent","Vehicle",0
"6648",70539,"Female","Grade 12",0,17.75,254390,1.73,491456,8.22,33.9,39,"Salaried","Mortgage","Vehicle",1
"1115",20218,"Female","Grade 12",0,19.25,345492,1.84,337031,37.92,125.92,71.1,"Salaried","Mortgage","Vehicle",1
"9437",94842,"Female","Postgrad",2,18.75,659029,1.38,1989418,28.86,97.47,57,"Salaried","Rent","Vehicle",0
"993",19123,"Male","No records",0,23.25,715870,1.41,719817,30.22,97.2,58.7,"Contract","Mortgage","Debt_consolidation",0
"6866",72226,"Male","Degree",0,22.75,2774048,1.93,5524380,29.85,98.7,61.6,"Self-employed","Own","Debt_consolidation",1
"8216",84117,"Female","Degree",1,19.25,377372,1.72,552309,6.15,26.9,34.3,"Salaried","Mortgage","Vehicle",0
"4563",51467,"Female","Grade 12",1,18.75,298032,1.82,648702,9.77,40.18,42.4,"Salaried","Rent","Vehicle",0
"458",14248,"Female","Grade 12",0,20.75,334930,1.31,112483,3.68,23.18,26.6,"Self-employed","Mortgage","Debt_consolidation",1
"4948",54877,"Female","Diploma",0,18.25,313466,1.52,654138,4.66,25.47,35.8,"Salaried","Mortgage","Home_improvement",0
"8686",88272,"Male","Diploma",0,25.25,183538,1.47,204480,39.99,127.56,74.7,"Self-employed","Rent","Other",0
"4150",47525,"Male","Diploma",0,21.75,345715,1.46,813280,28.45,95.98,54.7,"Salaried","Rent","Other",1
"4456",50415,"Male","Grade 12",0,24.75,1315192,1.95,4277483,1.93,19.32,30.9,"Self-employed","Own","Debt_consolidation",1
"3887",45475,"Female","Degree",1,18.25,231016,1.66,286380,39.82,129.22,64.8,"Salaried","Mortgage","Home_improvement",0
"968",18966,"Male","Degree",0,23.25,678448,1.39,653300,31.73,105.24,60.1,"Salaried","Rent","Other",0
"554",15135,"Female","Diploma",2,23.25,1280690,1.38,4813649,12.38,42.66,45.6,"Contract","Mortgage","Debt_consolidation",0
"3525",42248,"Male","Degree",0,18.25,474906,1.61,875422,32.8,106.34,63.4,"Salaried","Mortgage","Home_improvement",1
"9393",94385,"Female","Grade 12",2,18.75,285612,1.83,272183,24.91,83.09,55.1,"Salaried","Rent","Vehicle",1
"7624",78559,"Male","Postgrad",0,22.25,436067,2.03,823198,10.52,40.42,40.4,"Contract","Rent","Vehicle",0
"9585",96435,"Female","Grade 12",0,20.25,758298,1.3,1739477,4.36,19.95,38.4,"Salaried","Rent","Vehicle",1
"9745",97793,"Male","No records",2,17.75,202725,1.16,647506,8.43,34.04,35,"Salaried","Mortgage","Vehicle",0
"9467",95190,"Female","Diploma",1,25.25,1134985,2.09,1406165,3.3,22.27,28,"Self-employed","Rent","Other",1
"3379",41086,"Male","No records",1,25.25,1533790,1.47,1178950,38.95,126.7,67.1,"Self-employed","Rent","Other",1
"5794",62901,"Female","No records",0,25.25,1473830,1.75,4679420,25.84,96.56,60.6,"Self-employed","Rent","Other",1
"1451",23192,"Female","Grade 12",0,17.75,528696,1.54,1309323,15.82,58.33,50.8,"Salaried","Mortgage","Vehicle",0
"3502",42023,"Male","Grade 12",0,29.75,7336,0.36,26025,10.28,44.34,41.6,"Unemployed","Rent","Debt_consolidation",1
"104",10930,"Male","Grade 12",0,18.25,410278,1.93,1504193,4.12,25.99,29.8,"Salaried","Mortgage","Home_improvement",0
"6460",68652,"Male","Degree",0,19.25,395970,1.34,1453256,11.26,40.89,40.2,"Salaried","Own","Debt_consolidation",0
"2971",37222,"Female","Degree",1,20.25,425327,1.67,1255350,27.06,88.74,60.8,"Salaried","Rent","Vehicle",0
"9871",98796,"Male","Grade 12",0,19.75,1656699,2.14,4245142,23.29,75.51,48.7,"Self-employed","Mortgage","Vehicle",1
"7337",75966,"Female","No records",1,25.25,1563675,0.76,5006104,3.73,17.09,37.5,"Self-employed","Rent","Other",1
"6253",66938,"Male","Grade 12",3,17.75,252837,1.35,946119,10.12,39.29,34.3,"Salaried","Mortgage","Vehicle",0
"3542",42461,"Male","Degree",0,18.75,2511799,1.78,4660863,12.98,47.67,42.4,"Self-employed","Mortgage","Home_improvement",1
"3573",42666,"Female","No records",2,17.75,433935,1.82,610681,11.83,45.97,45.1,"Salaried","Mortgage","Vehicle",1
"7678",79108,"Male","Diploma",0,21.25,326624,1.44,1075289,1.29,13.08,34.7,"Salaried","Mortgage","Vehicle",0
"2450",32117,"Female","Postgrad",0,20.75,133831,1.36,90909,38.29,123.06,65.7,"Salaried","Own","Debt_consolidation",1
"3218",39633,"Male","Diploma",0,16.25,279559,1.3,126105,28.51,95.75,56.2,"Salaried","Rent","Vehicle",0
"6097",65603,"Female","Grade 12",1,22.75,542894,1.23,941099,24.92,89.49,48.8,"Contract","Own","Debt_consolidation",1
"5734",62335,"Female","Grade 12",1,22.25,348166,1.66,539997,0.29,6.45,27.7,"Salaried","Rent","Vehicle",0
"639",15820,"Female","Grade 12",0,17.75,474733,1.45,1270016,13.99,50.45,49,"Salaried","Mortgage","Vehicle",0
"170",11642,"Male","No records",1,16.25,501349,1.95,322122,22.99,77.96,51,"Salaried","Rent","Vehicle",1
"7606",78401,"Female","Degree",0,20.75,132176,1.01,413297,5.14,26.17,32.4,"Salaried","Own","Debt_consolidation",1
"3780",44460,"Male","Diploma",0,17.75,405945,1.62,342978,27.26,95.02,52.4,"Salaried","Mortgage","Vehicle",1
"9503",95484,"Male","Grade 12",0,20.75,3498733,1.3,2190510,39.45,127.66,69,"Self-employed","Mortgage","Debt_consolidation",1
"9005",91108,"Female","Grade 12",0,17.75,319436,1.5,585705,13.38,52.1,40.6,"Salaried","Mortgage","Vehicle",0
"9528",95784,"Female","Grade 12",0,18.75,188078,1.07,526121,9.05,31.91,32.1,"Salaried","Rent","Vehicle",1
"5895",63757,"Female","Grade 12",0,22.75,985490,1.11,572345,31.54,109.37,56.6,"Contract","Rent","Other",1
"3517",42157,"Male","Grade 12",1,20.25,2506466,2.48,9321927,35.39,119.59,64,"Self-employed","Mortgage","Home_improvement",1
"9432",94762,"Female","Diploma",0,20.25,583244,1.3,1750287,22.2,78,51.9,"Contract","Mortgage","Home_improvement",1
